cekilis_no,tarih,sayi_1,sayi_2,sayi_3,sayi_4,sayi_5,sans_topu
59,2021-03-31,2,6,9,15,30,14
60,2021-04-04,3,8,11,13,19,5
61,2021-04-07,4,10,16,24,25,4
62,2021-04-11,13,16,19,29,34,13
63,2021-04-14,11,19,24,25,26,11
64,2021-04-18,1,3,7,18,20,4
65,2021-04-21,14,18,20,22,29,8
66,2021-04-25,2,12,24,31,34,5
67,2021-04-28,9,10,15,16,34,13
68,2021-05-02,2,5,15,17,26,3
69,2021-05-05,7,10,12,13,33,8
70,2021-05-09,12,14,16,20,25,13
71,2021-05-12,12,17,22,24,26,2
72,2021-05-16,17,18,20,27,32,11
73,2021-05-19,5,18,23,28,32,14
74,2021-05-23,6,20,21,23,29,8
75,2021-05-26,14,21,24,27,31,3
76,2021-05-30,8,18,24,28,29,13
77,2021-06-02,2,6,16,17,32,11
78,2021-06-06,7,14,25,28,32,6
79,2021-06-09,12,17,18,19,30,3
80,2021-06-13,3,4,8,28,31,6
81,2021-06-16,2,13,17,22,24,6
82,2021-06-20,1,12,20,21,25,5
83,2021-06-23,2,7,11,32,33,6
84,2021-06-27,4,5,11,15,21,6
85,2021-06-30,6,15,16,17,31,2
86,2021-07-04,5,17,24,25,28,10
87,2021-07-07,10,13,16,31,33,8
88,2021-07-11,1,12,22,23,30,4
89,2021-07-14,3,25,28,30,31,10
90,2021-07-18,2,4,21,23,30,11
91,2021-07-21,8,16,22,25,30,3
92,2021-07-25,8,13,26,27,33,3
93,2021-07-28,1,3,4,7,8,1
94,2021-08-01,5,6,21,22,26,1
95,2021-08-04,8,10,18,24,32,6
96,2021-08-08,2,6,18,26,33,10
97,2021-08-11,6,14,23,24,26,2
98,2021-08-15,6,7,11,16,23,3
99,2021-08-18,1,9,13,22,30,8
100,2021-08-22,9,15,18,19,30,11
101,2021-08-25,3,11,19,21,30,11
102,2021-08-29,2,10,18,29,32,11
103,2021-09-01,6,8,10,14,22,10
104,2021-09-05,5,13,14,19,33,5
105,2021-09-08,1,6,9,23,27,12
106,2021-09-12,8,16,17,26,30,13
107,2021-09-15,9,11,26,33,34,1
108,2021-09-19,1,5,7,19,26,4
109,2021-09-22,3,13,14,22,32,8
110,2021-09-26,1,17,21,22,24,14
111,2021-09-29,10,15,18,19,27,4
112,2021-10-03,1,12,18,20,23,12
113,2021-10-06,1,6,8,10,11,12
114,2021-10-10,8,11,15,24,30,9
115,2021-10-13,3,7,25,27,31,2
116,2021-10-17,2,15,20,21,32,4
117,2021-10-20,1,6,18,23,30,9
118,2021-10-24,5,12,25,27,30,2
119,2021-10-27,1,2,8,18,19,14
120,2021-10-31,7,9,30,32,34,9
121,2021-11-03,7,14,24,25,29,7
122,2021-11-07,2,21,29,31,32,8
123,2021-11-10,6,9,15,30,32,14
124,2021-11-14,12,17,24,25,34,8
125,2021-11-17,2,7,8,9,21,14
126,2021-11-21,4,11,14,27,31,4
127,2021-11-24,9,16,24,26,30,11
128,2021-11-28,2,4,19,31,33,14
129,2021-12-01,11,24,25,28,29,13
130,2021-12-05,6,7,9,26,33,7
131,2021-12-08,1,12,16,24,30,8
132,2021-12-12,3,13,15,26,30,12
133,2021-12-15,2,7,12,17,28,10
134,2021-12-19,3,6,7,18,23,8
135,2021-12-22,4,7,14,15,22,7
136,2021-12-26,22,23,26,30,34,11
137,2021-12-29,6,13,21,29,33,9
138,2022-01-02,8,12,13,15,23,11
139,2022-01-05,5,13,21,23,34,9
140,2022-01-09,5,16,17,30,33,10
141,2022-01-12,2,7,15,31,34,13
142,2022-01-16,4,5,14,28,30,13
143,2022-01-19,12,13,24,32,34,12
144,2022-01-23,2,4,12,17,28,6
145,2022-01-26,3,8,11,17,20,13
146,2022-01-30,9,19,27,28,34,12
147,2022-02-02,7,12,27,29,33,14
148,2022-02-06,3,19,20,27,31,11
149,2022-02-09,4,10,12,33,34,12
150,2022-02-13,5,6,8,14,19,5
151,2022-02-16,4,17,24,31,34,13
152,2022-02-20,3,21,23,24,27,13
153,2022-02-23,5,15,18,23,28,5
154,2022-02-27,2,9,10,25,32,8
155,2022-03-02,15,18,20,21,22,5
156,2022-03-06,1,5,10,19,31,12
157,2022-03-09,4,5,6,17,27,9
158,2022-03-13,7,25,26,27,30,11
159,2022-03-16,4,11,15,22,28,9
160,2022-03-20,2,3,13,17,21,14
161,2022-03-23,6,11,14,23,25,2
162,2022-03-27,2,3,8,12,13,5
163,2022-03-30,9,11,13,20,30,11
164,2022-04-03,18,21,26,29,30,7
165,2022-04-06,5,6,7,11,30,11
166,2022-04-10,10,15,21,27,34,3
167,2022-04-13,11,14,20,24,28,7
168,2022-04-17,3,21,23,25,34,11
169,2022-04-20,8,12,21,23,31,12
170,2022-04-24,3,9,11,15,34,6
171,2022-04-27,2,4,6,12,14,10
172,2022-05-01,4,12,20,22,30,9
173,2022-05-04,1,2,14,18,32,7
174,2022-05-08,3,22,23,29,30,9
175,2022-05-11,9,14,16,21,30,10
176,2022-05-15,7,8,16,22,27,3
177,2022-05-18,6,10,16,19,27,13
178,2022-05-22,1,12,16,22,24,1
179,2022-05-25,5,7,13,17,28,12
180,2022-05-29,1,6,13,18,23,1
181,2022-06-01,1,6,9,15,20,3
182,2022-06-05,13,18,22,23,31,11
183,2022-06-08,1,15,18,20,25,2
184,2022-06-12,1,14,21,24,26,12
185,2022-06-15,6,7,11,25,29,14
186,2022-06-19,25,26,29,31,33,13
187,2022-06-22,2,8,10,14,23,1
188,2022-06-26,1,5,15,19,20,1
189,2022-06-29,1,15,19,27,29,1
190,2022-07-03,2,5,14,21,31,3
191,2022-07-06,4,13,27,28,29,5
192,2022-07-10,2,9,26,30,33,11
193,2022-07-13,1,7,9,10,27,3
194,2022-07-17,4,10,14,16,23,6
195,2022-07-20,3,4,20,31,34,4
196,2022-07-24,16,18,20,21,27,12
197,2022-07-27,2,7,18,32,33,7
198,2022-07-31,11,12,22,31,32,1
199,2022-08-03,4,10,13,21,23,7
200,2022-08-07,1,2,3,12,22,9
201,2022-08-10,5,13,15,20,34,12
202,2022-08-14,9,16,24,26,28,4
203,2022-08-17,4,5,17,18,21,9
204,2022-08-21,1,4,5,9,23,4
205,2022-08-24,9,14,20,24,33,4
206,2022-08-28,2,6,18,22,23,10
207,2022-08-31,6,7,11,14,30,9
208,2022-09-04,3,17,18,25,34,9
209,2022-09-07,4,5,6,10,19,7
210,2022-09-11,12,17,25,26,34,11
211,2022-09-14,5,25,28,32,34,12
212,2022-09-18,6,9,10,20,33,2
213,2022-09-21,10,13,15,31,34,11
214,2022-09-25,3,8,28,30,34,4
215,2022-09-28,2,14,17,18,19,8
216,2022-10-02,4,15,19,22,30,10
217,2022-10-05,3,14,27,29,34,9
218,2022-10-09,1,3,12,19,31,6
219,2022-10-12,6,14,25,30,32,7
220,2022-10-16,6,11,21,31,33,2
221,2022-10-19,4,20,23,31,34,14
222,2022-10-23,5,14,28,29,31,8
223,2022-10-26,12,13,24,25,30,4
224,2022-10-30,12,15,16,24,28,8
225,2022-11-02,2,7,18,28,32,8
226,2022-11-06,1,5,7,11,17,8
227,2022-11-09,1,5,17,21,27,5
228,2022-11-13,3,6,16,26,33,4
229,2022-11-16,8,19,24,33,34,5
230,2022-11-20,13,17,18,32,33,3
231,2022-11-23,2,5,7,9,28,4
232,2022-11-27,7,18,22,24,26,6
233,2022-11-30,3,5,18,23,32,13
234,2022-12-04,7,20,24,33,34,11
235,2022-12-07,3,14,16,20,25,7
236,2022-12-11,5,18,19,27,33,13
237,2022-12-14,4,6,24,26,29,8
238,2022-12-18,13,15,20,22,33,11
239,2022-12-21,3,4,23,25,31,11
240,2022-12-25,4,6,16,17,28,13
241,2022-12-28,5,12,18,26,30,7
242,2023-01-01,17,19,20,23,32,11
243,2023-01-04,9,13,20,26,29,7
244,2023-01-08,19,21,22,31,34,8
245,2023-01-11,4,12,28,30,31,9
246,2023-01-15,13,18,25,30,31,10
247,2023-01-18,6,13,16,22,32,9
248,2023-01-22,4,16,23,29,32,6
249,2023-01-25,4,6,12,16,33,1
250,2023-01-29,9,12,14,23,27,10
251,2023-02-01,1,4,7,22,27,14
252,2023-02-05,18,19,22,32,33,7
253,2023-02-08,3,5,9,10,29,11
254,2023-02-12,3,11,23,24,34,4
255,2023-02-15,6,19,21,25,32,10
256,2023-02-19,7,21,25,27,33,13
257,2023-02-22,1,13,23,30,34,14
258,2023-02-26,14,15,19,22,27,8
259,2023-03-01,5,7,17,31,32,5
260,2023-03-05,6,9,14,15,33,11
261,2023-03-08,11,13,14,26,29,2
262,2023-03-12,9,15,19,23,33,8
263,2023-03-15,9,18,21,26,29,8
264,2023-03-19,6,8,12,13,21,10
265,2023-03-22,5,6,20,26,28,4
266,2023-03-26,5,14,25,29,33,3
267,2023-03-29,11,13,30,31,34,14
268,2023-04-02,12,17,23,28,33,4
269,2023-04-05,4,8,9,21,31,4
270,2023-04-09,2,3,4,6,7,13
271,2023-04-12,9,12,17,23,34,14
272,2023-04-16,9,10,25,30,33,13
273,2023-04-19,4,5,17,28,32,14
274,2023-04-23,9,22,26,27,28,12
275,2023-04-26,11,13,23,24,33,12
276,2023-04-30,7,11,13,14,24,10
277,2023-05-03,11,18,25,26,29,13
278,2023-05-07,10,20,26,27,34,2
279,2023-05-10,6,7,13,27,30,12
280,2023-05-14,9,12,17,23,33,13
281,2023-05-17,14,21,22,25,29,2
282,2023-05-21,5,13,17,18,20,7
283,2023-05-24,5,10,24,25,29,2
284,2023-05-28,8,17,23,29,31,2
285,2023-05-31,3,14,28,31,32,11
286,2023-06-04,4,6,7,12,29,8
287,2023-06-07,5,7,14,15,25,4
288,2023-06-11,12,13,14,17,25,5
289,2023-06-14,8,9,15,25,27,13
290,2023-06-18,2,5,10,11,27,12
291,2023-06-21,8,15,19,23,29,9
292,2023-06-25,4,9,16,22,32,13
293,2023-06-28,11,13,18,21,32,5
294,2023-07-02,2,5,8,11,14,3
295,2023-07-05,16,17,18,20,22,9
296,2023-07-09,6,9,10,15,26,13
297,2023-07-12,9,13,15,17,32,11
298,2023-07-16,2,13,18,23,24,10
299,2023-07-19,2,7,13,15,23,14
300,2023-07-23,9,14,21,26,28,11
301,2023-07-26,5,14,16,20,30,9
302,2023-07-30,1,8,19,26,32,13
303,2023-08-02,4,8,16,30,33,2
304,2023-08-06,3,10,15,18,32,12
305,2023-08-09,1,2,10,28,33,9
306,2023-08-13,4,16,17,26,28,1
307,2023-08-16,9,17,23,24,29,2
308,2023-08-20,3,7,16,18,31,13
309,2023-08-23,6,8,9,26,34,8
310,2023-08-27,2,15,24,28,29,12
311,2023-08-30,14,23,29,33,34,2
312,2023-09-03,6,18,19,20,29,2
313,2023-09-06,7,12,15,22,31,9
314,2023-09-10,6,14,21,25,26,1
315,2023-09-13,21,22,26,27,28,11
316,2023-09-17,1,4,15,25,30,7
317,2023-09-20,8,10,19,23,33,6
318,2023-09-24,12,22,24,29,32,5
319,2023-09-27,17,20,21,26,33,12
320,2023-10-01,1,10,25,29,33,2
321,2023-10-04,3,20,23,26,31,7
322,2023-10-08,2,4,12,17,21,6
323,2023-10-11,1,2,29,30,32,2
324,2023-10-15,3,8,17,32,34,8
325,2023-10-18,7,9,11,29,31,12
326,2023-10-22,17,19,24,29,30,9
327,2023-10-25,6,10,19,24,26,10
328,2023-10-29,5,7,16,26,31,10
329,2023-11-01,12,14,19,32,34,4
330,2023-11-05,7,12,15,17,22,6
331,2023-11-08,5,7,13,14,22,14
332,2023-11-12,3,7,18,20,25,10
333,2023-11-15,2,16,17,22,33,3
334,2023-11-19,1,16,22,23,34,9
335,2023-11-22,14,16,18,19,20,6
336,2023-11-26,7,9,18,24,34,1
337,2023-11-29,15,18,20,23,29,14
338,2023-12-03,2,13,17,26,27,7
339,2023-12-06,8,21,23,25,27,13
340,2023-12-10,6,15,18,27,30,8
341,2023-12-13,4,8,16,21,26,6
342,2023-12-17,6,11,16,22,29,8
343,2023-12-20,8,12,17,21,29,7
344,2023-12-24,6,11,15,26,33,12
345,2023-12-27,4,7,14,17,28,11
346,2023-12-30,5,6,23,25,34,4
347,2024-01-03,6,19,24,26,29,10
348,2024-01-07,11,14,18,31,32,2
349,2024-01-10,2,5,12,17,33,3
350,2024-01-14,2,17,20,32,34,7
351,2024-01-17,2,4,9,10,30,7
352,2024-01-21,5,8,15,31,32,12
353,2024-01-24,17,20,21,22,30,2
354,2024-01-28,5,13,18,23,30,6
355,2024-01-31,10,11,22,23,26,12
356,2024-02-04,1,12,16,21,22,7
357,2024-02-07,6,11,13,25,33,13
358,2024-02-11,5,13,16,21,33,6
359,2024-02-14,10,12,15,25,29,13
360,2024-02-18,6,10,13,23,25,2
361,2024-02-21,12,19,23,30,33,9
362,2024-02-25,8,13,15,19,24,14
363,2024-02-28,6,10,11,25,31,14
364,2024-03-03,5,6,11,28,30,4
365,2024-03-06,2,10,14,15,20,3
366,2024-03-10,15,18,19,21,24,5
367,2024-03-13,5,16,19,21,28,5
368,2024-03-17,1,8,10,23,27,8
369,2024-03-20,9,25,31,32,34,9
370,2024-03-24,12,18,20,24,32,7
371,2024-03-27,7,14,19,21,32,3
372,2024-03-31,6,8,15,25,26,13
373,2024-04-03,7,13,18,24,25,5
374,2024-04-07,8,10,11,13,22,12
375,2024-04-10,8,9,17,21,23,3
376,2024-04-14,2,12,22,27,29,1
377,2024-04-17,4,13,29,31,33,8
378,2024-04-21,4,5,29,30,33,9
379,2024-04-24,5,11,12,19,24,14
380,2024-04-28,11,14,15,21,24,5
381,2024-05-01,6,8,9,19,32,1
382,2024-05-05,2,15,23,24,34,6
383,2024-05-08,1,4,6,16,31,9
384,2024-05-12,2,4,14,26,30,6
385,2024-05-15,2,19,24,29,33,11
386,2024-05-19,10,17,21,26,29,1
387,2024-05-22,4,14,18,19,29,4
388,2024-05-26,1,5,19,26,28,10
389,2024-05-29,13,17,20,21,30,2
390,2024-06-02,12,15,17,22,26,8
391,2024-06-05,4,5,21,24,25,11
392,2024-06-09,3,8,10,25,29,3
393,2024-06-12,4,5,14,33,34,10
394,2024-06-16,2,3,7,21,32,5
395,2024-06-19,1,7,8,11,29,12
396,2024-06-23,7,8,14,21,25,11
397,2024-06-26,1,6,12,14,27,6
398,2024-06-30,1,14,24,25,26,6
399,2024-07-03,11,23,28,30,34,14
400,2024-07-07,2,3,9,12,28,5
401,2024-07-10,9,13,23,26,33,13
402,2024-07-14,3,15,16,24,25,2
403,2024-07-17,10,23,25,26,31,10
404,2024-07-21,3,8,12,18,27,6
405,2024-07-24,2,12,26,32,34,2
406,2024-07-28,6,8,13,17,29,13
407,2024-07-31,4,5,8,27,33,1
408,2024-08-04,8,12,26,27,32,4
409,2024-08-07,4,11,16,24,34,2
410,2024-08-11,3,8,21,29,33,12
411,2024-08-14,3,4,26,30,32,2
412,2024-08-18,1,6,9,19,26,8
413,2024-08-21,6,9,28,33,34,4
414,2024-08-25,4,13,17,21,34,10
415,2024-08-28,1,14,20,27,32,5
416,2024-09-01,3,7,17,18,31,5
417,2024-09-04,1,7,11,20,34,7
418,2024-09-08,2,7,12,14,26,10
419,2024-09-11,6,13,15,22,23,14
420,2024-09-15,4,16,19,31,34,4
421,2024-09-18,7,12,14,28,31,4
422,2024-09-22,7,18,21,24,34,13
423,2024-09-25,1,7,13,25,27,6
424,2024-09-29,12,14,22,29,34,5
425,2024-10-02,10,12,24,28,33,13
426,2024-10-06,4,10,15,22,25,13
427,2024-10-09,1,10,14,16,18,14
428,2024-10-13,2,4,13,17,28,10
429,2024-10-16,4,7,22,26,31,9
430,2024-10-20,5,6,21,28,34,7
431,2024-10-23,5,6,10,15,26,8
432,2024-10-27,15,25,27,28,30,11
433,2024-10-30,2,3,10,18,29,3
434,2024-11-03,1,7,9,12,18,5
435,2024-11-06,3,10,26,27,32,2
436,2024-11-10,5,8,22,30,34,14
437,2024-11-13,2,18,20,21,34,12
438,2024-11-17,4,7,8,10,25,7
439,2024-11-20,18,21,26,27,32,10
440,2024-11-24,8,10,12,13,24,2
441,2024-11-27,3,11,17,23,34,6
442,2024-12-01,1,19,24,28,31,10
443,2024-12-04,7,18,31,33,34,7
444,2024-12-08,5,16,19,26,32,13
445,2024-12-11,3,4,11,23,29,2
446,2024-12-15,1,14,17,20,23,2
447,2024-12-18,2,14,22,29,34,10
448,2024-12-22,2,8,16,18,32,6
449,2024-12-25,10,11,13,14,33,14
450,2024-12-29,5,14,19,20,30,12
451,2025-01-01,1,5,8,13,19,7
452,2025-01-05,8,10,16,31,34,10
453,2025-01-08,21,23,24,26,34,14
454,2025-01-12,6,16,32,33,34,5
455,2025-01-15,2,8,22,31,32,5
456,2025-01-19,9,14,29,31,33,5
457,2025-01-22,6,9,19,25,30,9
458,2025-01-26,5,9,18,22,31,3
459,2025-01-29,2,10,15,16,30,4
460,2025-02-02,6,17,18,23,28,12
461,2025-02-05,2,4,8,9,20,6
462,2025-02-09,1,8,18,27,29,10
463,2025-02-12,10,13,19,27,31,3
464,2025-02-16,2,10,15,17,23,3
465,2025-02-19,2,5,9,17,25,2
466,2025-02-23,4,22,26,31,32,12
467,2025-02-26,11,20,24,26,29,2
468,2025-03-02,3,20,21,25,34,10
469,2025-03-05,4,15,19,24,27,14
470,2025-03-09,3,19,21,32,33,6
471,2025-03-12,3,5,18,23,27,11
472,2025-03-16,1,13,15,25,34,10
473,2025-03-19,2,5,12,19,27,4
474,2025-03-23,3,26,27,29,33,3
475,2025-03-26,5,9,10,13,14,1
476,2025-03-30,5,6,8,22,32,8
477,2025-04-02,2,15,25,28,32,13
478,2025-04-06,7,8,22,25,32,5
479,2025-04-09,2,6,18,26,33,2
480,2025-04-13,7,9,14,26,32,8
481,2025-04-16,14,15,19,20,32,11
482,2025-04-20,1,15,22,23,32,10
483,2025-04-23,5,17,19,23,29,8
484,2025-04-27,8,10,11,28,32,1
485,2025-04-30,22,25,31,32,33,3
486,2025-05-04,2,21,24,30,33,3
487,2025-05-07,4,8,17,22,28,12
488,2025-05-11,3,12,13,22,23,4
489,2025-05-14,10,13,16,22,29,2
490,2025-05-18,1,5,9,22,24,9
491,2025-05-21,1,4,11,13,29,7
492,2025-05-25,1,12,22,25,28,12
493,2025-05-28,6,7,9,15,26,2
494,2025-06-01,12,13,18,21,26,6
495,2025-06-04,5,11,23,27,30,2
496,2025-06-08,3,7,8,16,21,14
497,2025-06-11,1,9,18,22,25,6
498,2025-06-15,14,18,19,20,27,7
499,2025-06-18,13,17,30,32,34,14
500,2025-06-22,5,6,21,22,31,9
501,2025-06-25,8,10,12,20,28,5
502,2025-06-29,9,18,22,32,33,3
503,2025-07-02,7,15,16,26,30,2
504,2025-07-06,1,2,4,7,16,7
505,2025-07-09,5,7,12,21,31,2
506,2025-07-13,2,20,25,27,33,8
507,2025-07-16,5,8,14,15,33,7
508,2025-07-20,1,8,16,17,22,14
509,2025-07-23,1,5,20,23,29,10
510,2025-07-27,4,7,10,11,27,8
511,2025-07-30,2,3,10,16,23,14
512,2025-08-03,4,14,15,17,28,3
513,2025-08-06,15,17,22,24,29,10
514,2025-08-10,2,16,20,29,34,2
515,2025-08-13,2,8,9,15,19,3
516,2025-08-17,5,12,24,32,34,1
517,2025-08-20,5,22,23,28,31,5
518,2025-08-24,8,10,13,19,22,9
519,2025-08-27,16,18,20,21,32,13
520,2025-08-31,8,28,30,32,34,3
521,2025-09-03,3,19,21,25,34,10
522,2025-09-07,2,8,17,21,31,8
523,2025-09-10,7,19,23,27,33,3
524,2025-09-14,3,5,25,28,31,4
525,2025-09-17,16,19,24,30,31,3
526,2025-09-21,4,6,8,10,31,14
527,2025-09-24,2,5,12,22,31,7
528,2025-09-28,6,10,16,21,34,9
529,2025-10-01,3,5,21,23,26,12
530,2025-10-05,4,5,11,12,18,9
531,2025-10-08,4,6,7,16,33,4
532,2025-10-12,3,12,13,14,17,12
533,2025-10-15,4,6,12,18,25,9
534,2025-10-19,4,6,7,14,29,4
535,2025-10-22,7,14,15,18,23,5
536,2025-10-26,3,17,19,26,29,8
537,2025-10-29,5,9,22,23,25,7
538,2025-11-02,2,8,22,25,29,9
539,2025-11-05,1,7,8,11,22,11
540,2025-11-09,2,24,28,30,33,10
541,2025-11-12,3,10,20,27,33,8
542,2025-11-16,1,2,7,14,20,5
543,2025-11-19,1,6,10,19,29,8
544,2025-11-23,2,8,20,21,27,8
545,2025-11-26,5,7,21,25,32,4
546,2025-11-30,5,15,22,25,27,8
547,2025-12-03,2,6,19,20,22,10
548,2025-12-07,8,21,22,26,29,5
549,2025-12-10,8,17,20,30,34,4
550,2025-12-14,9,11,15,18,33,5
551,2025-12-17,4,12,18,25,29,13
552,2025-12-21,3,6,9,22,30,10
553,2025-12-24,1,3,8,10,34,2
554,2025-12-28,3,12,14,15,33,14
555,2025-12-31,2,5,11,31,33,9
556,2026-01-04,1,12,22,33,34,5
557,2026-01-07,3,5,8,18,34,6
558,2026-01-11,7,9,16,21,26,11
559,2026-01-14,4,10,11,29,34,11
560,2026-01-18,8,9,22,26,29,12
561,2026-01-21,15,16,18,30,33,6
562,2026-01-25,1,7,10,11,13,9
563,2026-01-28,2,4,12,13,20,10
564,2026-02-01,9,15,19,20,33,3
565,2026-02-04,2,5,8,28,33,7
566,2026-02-08,4,12,16,28,29,1
567,2026-02-11,19,20,24,28,32,13
568,2026-02-15,8,20,24,30,33,12
569,2026-02-18,6,15,19,21,23,12
570,2026-02-22,3,11,24,29,31,10
571,2026-02-25,8,15,24,26,27,14
572,2026-03-01,1,9,14,25,31,10
573,2026-03-04,2,5,16,24,26,11
574,2026-03-08,1,8,23,30,33,10
575,2026-03-11,6,11,14,24,27,14
576,2026-03-15,7,8,10,20,33,14
577,2026-03-18,8,13,26,29,31,13
578,2026-03-22,2,9,15,18,29,9
579,2026-03-25,8,18,27,28,31,12
580,2026-03-29,3,11,12,17,20,2
581,2026-04-01,7,10,12,13,22,14
582,2026-04-05,9,14,19,20,25,3
583,2026-04-08,5,17,28,29,30,13
584,2026-04-12,2,6,11,19,24,8
585,2026-04-15,1,2,13,16,19,13
586,2026-04-19,3,14,16,17,34,13
587,2026-04-22,1,16,24,31,34,5
588,2026-04-26,6,17,26,29,32,9
589,2026-04-29,1,6,21,25,34,4
590,2026-05-03,2,8,19,26,29,13
