cekilis_no,tarih,cekilen_1,cekilen_2,cekilen_3,cekilen_4,cekilen_5,cekilen_6,cekilen_7,cekilen_8,cekilen_9,cekilen_10,cekilen_11,cekilen_12,cekilen_13,cekilen_14,cekilen_15,cekilen_16,cekilen_17,cekilen_18,cekilen_19,cekilen_20,cekilen_21,cekilen_22
17,2020-11-02,1,2,10,12,15,23,25,33,34,35,37,38,41,48,53,54,57,60,67,71,73,79
18,2020-11-06,2,14,20,21,22,30,34,36,37,38,43,45,47,52,59,60,67,73,74,75,77,79
19,2020-11-09,7,10,19,24,27,32,39,44,45,46,48,49,52,54,55,62,63,72,73,74,76,79
20,2020-11-13,1,10,11,15,16,17,18,25,27,32,33,34,35,44,46,50,58,62,65,67,69,73
21,2020-11-16,3,4,7,8,14,16,20,21,23,27,28,31,32,33,35,47,54,55,56,65,74,76
22,2020-11-20,1,2,3,4,9,14,16,22,24,27,35,37,47,49,51,53,57,60,61,70,73,77
23,2020-11-23,2,3,6,7,10,12,16,17,18,28,41,49,50,53,55,57,62,63,65,71,73,74
24,2020-11-27,1,2,4,11,13,15,16,23,24,25,27,46,47,48,53,59,60,62,63,66,70,75
25,2020-11-30,2,4,8,10,20,22,24,25,26,33,34,35,38,40,43,46,47,51,57,62,68,75
26,2020-12-04,10,11,12,16,18,20,26,29,33,34,35,43,47,48,50,52,55,66,67,69,71,75
27,2020-12-07,4,5,16,27,28,29,30,36,38,39,40,46,47,54,64,66,67,69,71,72,74,78
28,2020-12-11,2,3,4,6,8,11,14,16,24,31,33,36,51,57,61,63,70,71,75,77,79,80
29,2020-12-14,12,15,17,21,22,23,28,30,31,34,36,40,44,48,51,54,58,65,67,68,73,78
30,2020-12-18,1,4,7,8,20,21,25,27,32,36,40,41,42,43,45,49,57,64,66,67,70,74
31,2020-12-21,4,5,6,7,14,23,25,27,29,32,36,38,39,42,47,48,50,55,59,60,70,71
32,2020-12-25,2,3,11,12,19,20,26,27,28,34,35,37,41,50,52,57,58,64,67,69,75,78
33,2020-12-28,6,11,18,19,22,27,32,34,38,44,51,52,55,56,57,58,59,65,66,69,74,77
34,2021-01-01,1,5,19,20,24,28,29,37,38,39,41,53,57,58,60,62,64,66,70,75,79,80
35,2021-01-04,1,4,6,8,11,13,15,17,29,31,34,35,43,47,51,52,55,59,65,70,71,72
36,2021-01-08,1,10,23,24,25,31,35,37,40,43,45,53,56,59,65,68,74,75,76,77,78,80
37,2021-01-11,6,7,14,16,17,19,26,33,36,37,38,39,42,46,51,52,57,61,62,67,73,78
38,2021-01-15,1,2,6,8,11,13,17,18,22,24,28,32,38,50,60,63,66,68,73,74,77,80
39,2021-01-18,1,3,15,18,19,23,24,27,28,29,34,37,38,41,42,45,58,62,65,71,72,80
40,2021-01-22,2,6,12,13,14,15,16,23,30,34,35,46,49,55,56,60,67,70,71,75,76,80
41,2021-01-25,1,2,7,9,18,22,24,28,29,30,31,32,35,36,47,52,56,62,69,71,77,78
42,2021-01-29,4,7,12,13,19,25,26,27,31,36,39,42,43,50,54,60,65,69,71,78,79,80
43,2021-02-01,1,5,9,19,24,41,42,44,45,46,47,48,50,51,52,55,56,59,64,71,75,77
44,2021-02-05,7,8,11,20,25,26,29,33,36,38,40,41,45,47,52,55,57,59,60,64,73,74
45,2021-02-08,5,7,8,12,15,18,20,21,22,25,28,31,42,45,49,55,58,65,68,72,77,78
46,2021-02-12,1,2,3,5,6,7,18,20,22,23,24,36,37,46,48,52,60,69,71,75,76,79
47,2021-02-15,7,14,18,23,27,29,31,34,35,37,40,43,46,48,50,51,52,60,61,65,69,79
48,2021-02-19,3,4,5,14,22,25,26,30,34,37,44,46,55,56,61,62,64,69,74,77,79,80
49,2021-02-22,8,9,15,18,19,25,26,31,35,39,41,46,47,56,59,60,62,67,70,75,79,80
50,2021-02-26,1,5,16,30,32,37,38,39,42,44,49,50,53,62,67,68,70,71,74,77,79,80
51,2021-03-01,4,6,7,11,16,17,20,25,26,28,31,33,35,37,40,43,50,55,64,73,74,75
52,2021-03-05,4,16,17,22,28,29,32,37,39,42,43,46,48,50,52,55,60,62,63,71,77,79
53,2021-03-08,8,14,23,24,25,28,37,43,44,46,47,50,52,59,60,67,68,72,73,76,77,78
54,2021-03-12,2,3,5,16,17,21,22,23,25,29,30,32,35,38,42,44,56,58,62,69,73,77
55,2021-03-15,3,4,7,9,10,11,12,16,27,35,41,46,47,51,55,56,57,67,68,73,75,76
56,2021-03-19,6,7,16,17,18,28,32,36,37,39,40,44,47,51,52,57,62,63,66,72,73,77
57,2021-03-22,4,6,7,11,15,16,19,29,38,42,44,47,50,53,54,57,59,60,65,75,76,79
58,2021-03-26,3,6,9,14,17,24,29,31,38,44,48,52,53,57,60,61,64,66,70,73,75,79
59,2021-03-29,4,5,6,7,10,14,15,19,20,29,30,41,43,47,51,53,54,62,65,66,71,76
60,2021-04-02,3,4,18,20,21,27,32,33,35,44,45,48,53,57,59,64,68,69,70,73,77,80
61,2021-04-05,1,4,5,11,15,21,23,25,28,32,34,52,53,57,62,63,64,65,69,71,73,80
62,2021-04-09,2,5,6,7,8,15,26,28,29,36,37,38,43,45,51,52,53,54,55,57,67,71
63,2021-04-12,1,7,8,14,15,18,25,27,29,31,35,41,42,45,48,49,53,62,71,73,75,79
64,2021-04-16,2,4,6,9,11,14,15,17,29,33,35,38,42,49,53,54,62,65,66,69,73,74
65,2021-04-19,1,2,5,14,20,21,27,34,35,40,41,46,50,51,53,54,55,59,69,70,71,80
66,2021-04-23,2,6,11,12,14,15,16,18,22,26,30,31,41,48,52,57,65,67,68,75,76,79
67,2021-04-26,3,5,12,16,17,27,29,31,36,40,46,47,51,53,57,60,63,68,71,77,78,79
68,2021-04-30,1,5,9,19,22,25,27,34,37,43,46,48,52,53,55,56,58,67,69,74,76,79
69,2021-05-03,1,5,6,8,10,14,20,21,26,31,32,34,41,43,47,58,59,61,64,68,73,77
70,2021-05-07,4,7,8,11,13,19,21,26,37,39,42,45,46,48,51,53,61,63,68,77,79,80
71,2021-05-10,2,6,10,14,21,23,25,28,30,35,37,39,44,50,51,54,62,67,72,75,77,80
72,2021-05-14,1,3,5,12,13,15,19,26,31,36,37,44,46,48,53,57,61,63,73,78,79,80
73,2021-05-17,4,5,9,11,16,21,25,27,30,31,41,46,52,54,57,60,63,67,68,69,71,78
74,2021-05-21,1,3,11,14,23,24,28,34,46,47,51,56,57,58,60,61,63,64,65,66,68,78
75,2021-05-24,3,4,8,13,15,20,22,26,28,32,35,41,43,45,46,49,54,56,57,68,69,76
76,2021-05-28,4,6,7,13,14,15,19,20,21,30,31,35,49,50,55,56,59,66,70,74,76,77
77,2021-05-31,5,7,8,11,12,16,17,25,28,30,33,41,45,51,55,59,63,69,73,78,79,80
78,2021-06-04,2,4,5,11,15,19,25,29,32,33,40,47,50,53,56,58,62,65,67,70,77,78
79,2021-06-07,3,6,11,14,20,26,30,31,33,36,38,46,49,53,59,62,64,66,69,70,74,77
80,2021-06-11,1,3,6,8,16,18,19,27,35,36,41,43,47,55,56,61,64,65,69,73,74,75
81,2021-06-14,2,4,9,15,17,21,22,25,28,29,30,31,34,36,38,39,42,45,52,58,67,75
82,2021-06-18,7,10,12,16,18,23,26,30,33,38,39,40,43,47,56,57,60,61,62,66,68,73
83,2021-06-21,4,5,6,9,11,14,16,17,21,22,23,27,32,40,46,54,60,62,67,75,78,79
84,2021-06-25,1,5,7,9,10,11,15,19,22,24,25,27,36,39,45,51,53,58,66,70,74,77
85,2021-06-28,2,9,13,16,17,19,22,27,31,36,39,40,47,50,53,55,56,65,69,71,76,79
86,2021-07-02,6,7,11,13,16,17,18,20,21,24,26,28,36,42,44,50,53,55,56,66,77,80
87,2021-07-05,1,3,7,10,17,25,27,28,29,32,34,36,43,46,49,52,57,59,63,67,78,80
88,2021-07-09,2,5,9,11,13,16,17,18,19,20,23,26,32,41,46,47,48,50,54,58,59,75
89,2021-07-12,2,3,5,11,15,17,19,20,24,31,35,36,38,45,53,57,58,63,71,73,76,78
90,2021-07-16,3,4,5,7,8,9,12,13,15,18,21,26,27,28,40,52,64,71,72,74,77,78
91,2021-07-19,2,3,6,8,11,13,18,20,27,28,33,47,55,58,61,62,67,70,71,73,75,76
92,2021-07-23,2,4,7,8,10,11,20,21,22,24,27,28,43,47,49,50,59,65,71,73,74,77
93,2021-07-26,11,16,17,23,25,27,30,31,37,38,50,51,52,57,60,63,68,70,71,72,76,80
94,2021-07-30,6,9,13,21,28,29,32,34,37,41,44,45,48,49,51,55,56,57,58,69,73,75
95,2021-08-02,1,2,4,8,10,16,21,25,33,36,39,44,45,53,54,60,64,65,70,72,74,76
96,2021-08-06,6,13,23,27,28,29,37,39,40,49,51,53,55,61,62,65,68,70,75,77,78,79
97,2021-08-09,3,4,5,16,17,21,28,29,31,37,40,42,48,53,54,56,57,58,62,66,69,79
98,2021-08-13,6,7,11,22,23,33,39,49,54,55,58,61,63,71,72,74,75,76,77,78,79,80
99,2021-08-16,6,20,22,23,27,28,29,32,38,41,43,50,52,53,54,55,57,60,64,65,70,77
100,2021-08-20,3,6,9,11,13,16,17,26,29,30,32,35,37,38,40,43,45,54,60,69,71,77
101,2021-08-23,2,3,5,6,7,9,16,18,21,22,29,30,38,39,50,52,57,58,66,77,78,80
102,2021-08-27,5,19,20,24,28,32,33,35,38,42,44,51,52,53,57,61,64,71,74,76,77,79
103,2021-08-30,5,9,13,15,18,25,36,47,48,53,58,60,61,64,65,69,71,72,74,75,77,79
104,2021-09-03,11,14,18,19,20,26,27,28,29,44,47,50,52,54,55,58,64,65,66,69,70,75
105,2021-09-06,2,4,6,7,16,20,23,25,36,39,44,49,51,52,56,58,62,63,67,69,70,77
106,2021-09-10,1,5,8,9,13,24,25,28,29,30,31,41,44,55,57,59,60,63,65,66,73,80
107,2021-09-13,1,2,6,7,14,21,26,43,49,55,56,59,63,66,68,70,71,72,75,76,79,80
108,2021-09-17,3,4,12,13,14,15,20,23,29,31,33,34,39,42,48,50,59,64,65,68,70,80
109,2021-09-20,2,5,7,12,15,16,17,18,21,32,35,40,48,52,53,55,59,70,71,73,77,78
110,2021-09-24,2,8,10,11,14,21,27,28,29,35,39,40,44,50,51,55,57,63,66,67,68,79
111,2021-09-27,2,6,7,12,16,19,20,26,33,36,38,42,44,45,46,48,49,50,58,68,70,74
112,2021-10-01,2,9,13,15,26,29,33,37,38,40,44,53,54,57,60,61,62,65,69,70,72,73
113,2021-10-04,6,11,12,15,18,19,24,25,29,31,33,35,36,38,41,52,60,67,68,73,75,76
114,2021-10-08,2,10,11,12,15,16,22,28,29,31,32,36,45,46,49,53,57,62,67,74,75,76
115,2021-10-11,1,5,6,7,11,12,18,20,27,34,36,38,42,45,46,48,49,54,55,57,75,78
116,2021-10-15,7,9,16,20,25,30,35,38,40,44,46,47,51,52,55,56,57,68,74,77,79,80
117,2021-10-18,2,4,12,27,28,32,37,39,41,46,48,49,52,56,58,63,64,65,66,71,73,75
118,2021-10-22,4,11,13,15,16,22,24,33,38,42,56,58,60,63,64,65,72,73,75,76,78,79
119,2021-10-25,1,5,6,8,9,11,15,24,28,29,39,41,48,53,54,56,57,60,65,73,76,79
120,2021-10-29,5,8,9,15,16,17,27,31,36,37,38,39,45,46,57,58,60,61,67,70,73,77
121,2021-11-01,1,4,15,18,21,27,30,33,34,35,37,42,43,44,50,65,68,69,73,75,77,80
122,2021-11-05,2,3,10,15,18,19,20,21,28,30,31,33,34,46,48,49,51,53,61,63,66,77
123,2021-11-08,4,8,13,16,21,25,29,31,35,39,44,51,53,55,56,59,65,66,70,71,74,80
124,2021-11-12,8,13,16,20,21,22,25,26,29,33,37,39,53,55,58,64,66,69,70,76,77,79
125,2021-11-15,5,6,10,12,17,27,28,35,36,38,45,46,47,54,55,56,57,63,68,73,75,79
126,2021-11-19,2,9,12,13,15,17,19,20,22,35,41,42,44,46,54,55,59,62,68,70,74,80
127,2021-11-22,3,4,8,9,18,25,32,33,42,46,47,48,52,53,56,58,61,63,66,67,68,74
128,2021-11-26,1,2,4,10,13,14,18,19,24,28,31,32,35,44,49,58,60,61,69,72,77,80
129,2021-11-29,4,5,10,12,19,23,24,25,27,31,33,43,46,49,52,54,55,60,61,64,67,68
130,2021-12-03,4,5,7,18,20,22,23,30,31,38,42,44,45,47,55,57,58,59,63,74,75,78
131,2021-12-06,9,10,12,15,16,17,32,39,46,50,55,59,62,63,64,66,69,73,75,76,78,79
132,2021-12-10,2,4,7,8,12,24,25,30,42,45,46,47,50,51,52,55,65,67,72,73,74,78
133,2021-12-13,5,6,13,15,22,24,25,27,32,34,36,42,45,47,50,53,56,57,58,60,65,72
134,2021-12-17,1,6,10,12,14,25,31,32,38,41,44,49,50,56,57,61,63,68,70,72,73,74
135,2021-12-20,1,6,12,13,14,15,19,24,25,29,30,36,40,45,53,63,64,68,70,72,74,80
136,2021-12-24,2,3,6,8,10,19,23,27,29,30,32,35,37,42,44,52,56,65,66,67,75,79
137,2021-12-27,4,7,12,14,21,25,26,31,40,50,52,53,62,64,66,69,70,71,75,77,78,79
138,2021-12-30,2,3,13,14,18,19,20,21,24,26,32,35,36,41,43,46,51,54,59,68,77,79
139,2022-01-03,3,12,16,22,27,30,32,36,38,41,43,44,45,48,53,55,57,67,72,73,75,79
140,2022-01-07,4,11,12,16,19,32,33,34,35,37,39,40,41,44,49,50,55,56,59,67,73,79
141,2022-01-10,2,5,9,18,22,24,27,30,36,39,40,41,45,46,47,48,57,62,65,66,77,79
142,2022-01-14,2,4,11,13,17,18,19,20,21,33,37,40,44,58,60,61,62,65,69,75,76,80
143,2022-01-17,3,5,7,10,12,15,16,18,21,25,28,37,38,39,40,53,61,65,73,75,76,80
144,2022-01-21,2,3,8,12,16,17,19,20,32,35,39,40,48,49,50,57,64,67,72,74,75,80
145,2022-01-24,5,7,9,13,15,16,18,19,25,35,36,41,42,49,60,61,66,68,70,74,77,80
146,2022-01-28,1,5,7,10,11,14,16,20,23,24,25,26,34,38,39,41,46,47,49,65,70,76
147,2022-01-31,1,3,5,6,10,12,18,29,32,34,35,40,47,51,53,54,56,66,69,71,77,78
148,2022-02-04,1,3,12,13,19,23,25,30,36,42,47,48,49,50,60,65,66,69,70,75,78,80
149,2022-02-07,10,11,18,20,24,26,32,34,35,36,37,39,41,42,45,48,61,64,65,68,71,78
150,2022-02-11,4,6,8,10,13,15,17,21,27,28,32,39,40,43,44,47,48,56,58,61,62,68
151,2022-02-14,4,8,16,21,24,27,28,30,33,34,37,44,45,46,50,67,70,73,74,76,77,80
152,2022-02-18,2,3,7,13,15,17,21,22,30,42,46,48,53,54,57,58,61,66,71,74,75,76
153,2022-02-21,2,7,13,15,16,18,21,24,28,35,38,39,42,43,44,45,48,52,60,61,73,74
154,2022-02-25,1,7,9,10,11,13,16,19,21,22,27,30,34,36,40,44,57,64,65,66,76,80
155,2022-02-28,5,11,13,19,21,24,28,31,33,36,49,53,56,58,61,63,69,71,73,75,77,79
156,2022-03-04,1,6,8,10,12,22,26,30,31,32,34,35,36,42,45,46,47,50,62,63,69,78
157,2022-03-07,2,3,7,9,14,19,23,25,26,32,34,37,46,48,49,50,57,60,65,66,78,80
158,2022-03-11,3,5,6,12,17,19,24,26,28,29,31,32,37,41,42,46,54,57,69,77,79,80
159,2022-03-14,3,4,8,9,12,16,17,23,31,35,37,45,46,49,54,55,56,57,61,70,77,79
160,2022-03-18,1,8,12,15,22,27,30,37,40,41,43,45,50,51,53,59,61,62,69,70,74,79
161,2022-03-21,4,8,14,17,18,21,24,26,27,28,33,34,37,46,53,55,56,63,66,75,76,78
162,2022-03-25,6,7,12,16,17,22,27,37,40,41,45,46,47,50,51,53,60,66,67,68,72,75
163,2022-03-28,2,4,13,16,18,19,24,26,30,31,33,40,47,50,55,61,65,68,74,77,78,79
164,2022-04-01,3,6,9,10,12,17,18,29,33,39,42,43,45,50,54,57,63,64,66,71,73,76
165,2022-04-04,3,4,13,21,23,24,33,34,42,44,47,48,54,58,61,62,63,67,70,73,77,78
166,2022-04-08,1,2,3,6,9,19,25,27,32,51,54,55,58,59,62,63,68,69,71,72,74,76
167,2022-04-11,9,10,16,17,19,21,23,30,32,34,39,41,56,57,60,65,67,70,71,77,78,79
168,2022-04-15,1,5,14,26,27,32,33,37,38,40,42,46,51,52,54,58,60,62,72,73,74,79
169,2022-04-18,2,4,9,10,13,17,19,23,26,28,33,41,48,51,52,55,57,61,65,66,67,72
170,2022-04-22,8,13,15,16,19,24,25,31,36,38,42,43,44,45,50,52,54,55,61,65,68,76
171,2022-04-25,2,7,14,19,20,23,24,27,32,34,36,42,44,47,51,59,60,65,66,71,72,74
172,2022-04-29,12,13,15,18,29,30,32,35,37,38,39,40,43,46,47,57,59,60,65,67,73,79
173,2022-05-02,3,6,9,14,16,18,19,20,23,28,29,30,37,39,40,41,42,47,49,51,67,71
174,2022-05-06,2,12,13,14,18,20,23,30,31,34,43,45,62,63,64,65,70,71,72,73,75,77
175,2022-05-09,1,13,18,21,30,33,35,40,48,49,52,53,55,59,60,62,64,71,74,76,77,78
176,2022-05-13,2,7,8,9,11,13,17,23,24,30,31,32,37,43,44,54,57,58,60,64,65,79
177,2022-05-16,2,3,9,12,15,18,30,31,32,33,38,40,49,50,57,60,61,65,68,69,76,78
178,2022-05-20,5,6,11,17,29,34,36,38,41,49,56,57,60,61,62,66,67,68,69,70,75,76
179,2022-05-23,5,7,10,11,12,13,16,18,25,31,35,40,41,43,47,49,50,53,55,57,59,73
180,2022-05-27,8,13,14,15,17,18,21,22,25,31,32,33,36,37,46,47,60,62,63,71,73,78
181,2022-05-30,5,7,9,12,13,18,19,24,32,41,42,46,50,52,53,57,63,64,65,71,77,80
182,2022-06-03,6,8,11,13,14,16,17,18,28,31,34,35,39,50,51,54,58,59,60,61,70,80
183,2022-06-06,3,5,13,19,20,25,26,42,43,44,45,51,55,58,59,61,67,70,71,72,79,80
184,2022-06-10,1,3,11,17,19,26,34,41,42,43,53,54,56,58,62,64,70,72,75,77,78,79
185,2022-06-13,12,18,19,23,27,28,29,32,40,43,46,51,53,56,60,65,66,67,69,72,74,76
186,2022-06-17,6,7,15,16,18,21,25,30,34,38,45,47,52,56,58,61,62,66,67,68,72,77
187,2022-06-20,1,4,10,13,19,20,22,23,26,27,32,37,48,49,52,53,58,59,66,74,75,77
188,2022-06-24,2,4,6,13,14,15,16,22,29,35,37,39,40,44,46,48,50,53,54,56,58,71
189,2022-06-27,5,13,16,18,21,24,26,27,30,42,46,50,52,53,55,58,64,65,66,69,70,71
190,2022-07-01,1,11,16,17,20,23,25,29,33,34,41,42,45,53,55,62,63,70,73,75,77,80
191,2022-07-04,4,8,11,13,14,15,18,20,23,27,31,33,35,37,43,50,59,67,69,74,75,78
192,2022-07-08,1,3,6,12,13,17,20,21,28,29,32,33,34,36,42,50,56,62,64,68,76,80
193,2022-07-11,1,8,10,11,12,14,15,17,18,20,27,36,39,40,41,44,45,55,58,67,70,71
194,2022-07-15,3,4,5,7,8,11,12,14,17,21,36,38,39,41,43,52,53,61,69,70,75,78
195,2022-07-18,13,18,21,24,25,26,35,39,40,42,47,49,50,52,55,57,59,60,62,71,78,79
196,2022-07-22,5,7,14,27,29,30,36,37,40,45,47,48,49,50,51,53,55,65,66,68,74,78
197,2022-07-25,1,6,7,8,9,12,20,24,29,33,45,47,50,53,56,62,65,66,69,73,75,79
198,2022-07-29,2,5,6,12,13,14,23,24,28,31,35,40,45,47,49,50,57,58,64,65,67,71
199,2022-08-01,1,3,5,8,9,10,11,12,13,17,21,25,33,35,37,39,44,50,51,67,71,72
200,2022-08-05,1,7,9,11,13,14,19,28,33,49,50,53,54,56,58,62,64,69,70,71,72,78
201,2022-08-08,1,7,11,13,15,17,20,24,25,33,35,37,41,43,48,52,54,58,64,65,66,76
202,2022-08-12,2,7,9,10,13,16,20,26,32,34,49,51,52,53,57,58,61,66,67,71,73,78
203,2022-08-15,2,4,8,9,16,18,23,25,28,33,39,40,42,43,49,53,57,60,64,67,72,78
204,2022-08-19,6,16,17,24,31,33,34,37,38,41,44,46,48,49,50,56,58,59,64,66,67,76
205,2022-08-22,5,7,9,14,24,30,41,42,46,48,49,50,52,54,55,56,58,66,74,77,79,80
206,2022-08-26,2,6,7,14,17,27,39,40,41,43,46,47,48,53,56,58,69,71,72,74,75,79
207,2022-08-29,5,9,12,13,15,16,19,20,27,28,32,34,36,43,44,48,51,54,57,77,78,79
208,2022-09-02,1,4,7,9,12,13,14,22,28,36,41,51,53,57,60,65,66,67,71,72,73,78
209,2022-09-05,4,8,9,10,14,16,21,22,25,26,40,43,48,49,51,53,55,59,60,64,65,79
210,2022-09-09,4,6,8,10,13,14,18,19,20,23,24,27,30,37,41,44,53,59,63,67,72,80
211,2022-09-12,2,6,7,12,20,21,23,27,33,36,37,38,46,49,53,62,69,73,74,76,77,80
212,2022-09-16,1,4,8,13,15,17,43,46,49,50,51,53,58,62,64,65,68,72,73,75,76,77
213,2022-09-19,1,6,8,9,12,16,20,22,24,29,30,36,42,49,55,56,61,62,64,68,72,77
214,2022-09-23,2,5,6,8,10,14,18,19,24,30,32,39,49,61,62,64,67,69,70,71,75,80
215,2022-09-26,5,14,16,18,28,29,31,32,36,38,39,41,43,47,50,54,57,59,60,70,72,75
216,2022-09-30,3,4,9,14,17,19,25,28,44,48,49,50,52,53,54,55,59,63,65,67,71,74
217,2022-10-03,4,6,7,8,11,18,31,35,37,39,40,46,48,51,53,55,57,62,73,75,76,79
218,2022-10-07,2,5,6,11,14,16,17,21,29,37,39,56,58,65,66,67,70,72,74,76,78,80
219,2022-10-10,1,2,11,13,17,18,27,32,35,36,41,45,46,48,49,50,51,53,54,61,71,78
220,2022-10-14,1,2,3,8,9,11,15,16,25,29,37,38,41,45,50,54,56,59,62,63,76,78
221,2022-10-17,3,5,6,9,10,11,13,14,18,23,28,29,33,39,42,47,51,55,70,77,79,80
222,2022-10-21,1,3,11,14,15,16,17,20,22,26,32,33,34,36,41,52,57,63,64,65,69,78
223,2022-10-24,2,4,8,9,12,13,18,25,27,33,36,39,40,43,47,55,65,66,69,71,76,80
224,2022-10-28,3,4,8,20,22,31,33,38,44,47,48,50,54,57,59,63,68,70,72,75,77,78
225,2022-10-31,1,3,7,17,19,20,21,24,25,28,29,31,34,35,38,39,43,49,51,60,66,79
226,2022-11-04,2,3,8,18,20,21,26,28,29,35,40,49,50,53,56,60,65,72,74,75,78,80
227,2022-11-07,2,8,14,20,21,22,23,24,26,38,43,44,46,47,51,59,60,62,65,67,73,75
228,2022-11-11,5,12,13,15,17,19,21,23,27,35,36,41,51,54,57,58,59,61,71,75,78,80
229,2022-11-14,2,4,9,10,12,20,28,30,32,34,39,40,42,43,44,47,49,57,60,61,70,75
230,2022-11-18,4,5,11,12,18,22,29,40,43,45,49,50,55,56,63,64,65,68,76,77,79,80
231,2022-11-21,1,2,6,16,20,21,22,26,30,33,36,39,40,50,51,54,57,65,67,70,71,72
232,2022-11-25,4,6,11,15,19,20,23,24,27,28,30,34,35,38,43,49,52,71,72,74,77,79
233,2022-11-28,2,7,8,13,14,22,28,31,33,34,35,40,45,50,53,55,63,70,71,72,75,77
234,2022-12-02,1,6,13,17,20,25,27,29,31,37,40,45,47,48,50,53,62,67,69,71,75,76
235,2022-12-05,2,3,4,6,12,18,20,31,32,33,44,47,48,50,51,53,58,65,68,69,70,72
236,2022-12-09,2,3,4,6,9,16,20,24,28,35,38,39,42,44,47,52,55,56,61,73,74,78
237,2022-12-12,4,7,11,14,18,22,30,32,34,37,47,49,52,61,63,65,66,68,71,74,77,79
238,2022-12-16,1,5,7,9,10,16,19,22,24,26,31,32,39,47,48,49,51,59,63,67,68,79
239,2022-12-19,2,12,18,19,24,27,32,34,36,37,42,45,46,50,51,52,54,59,70,72,74,78
240,2022-12-23,2,3,5,7,16,21,28,30,34,37,42,47,48,52,54,58,59,65,66,71,74,79
241,2022-12-26,4,6,8,11,13,14,15,16,19,21,22,27,32,38,44,50,51,55,68,69,77,78
242,2022-12-30,3,13,16,24,28,31,33,34,38,49,52,55,57,58,60,63,66,67,73,74,76,79
243,2023-01-02,1,2,6,7,12,20,27,30,31,34,37,39,42,43,46,51,53,54,56,59,68,77
244,2023-01-06,1,2,6,14,16,19,27,30,51,52,53,55,59,60,61,63,64,66,71,73,75,79
245,2023-01-09,2,9,10,17,19,21,23,24,25,34,39,44,50,52,54,55,58,62,64,65,72,74
246,2023-01-13,7,9,13,16,17,18,19,20,22,29,30,36,47,50,52,57,60,64,66,69,76,78
247,2023-01-16,2,4,5,8,9,13,16,20,26,28,34,35,45,48,53,57,58,60,64,76,79,80
248,2023-01-20,8,14,16,20,25,26,27,29,32,38,40,43,51,52,56,57,59,62,63,65,73,77
249,2023-01-23,2,3,4,8,11,18,25,27,31,35,39,46,48,53,54,56,60,68,69,73,75,78
250,2023-01-27,6,7,12,15,19,23,28,29,32,34,35,37,45,46,54,60,67,68,70,71,74,80
251,2023-01-30,2,12,13,14,16,19,27,32,34,35,37,41,44,45,51,55,60,61,63,68,79,80
252,2023-02-03,2,3,4,8,9,16,20,27,29,31,35,38,39,43,45,50,51,54,56,64,72,76
253,2023-02-06,2,5,11,12,13,19,27,30,32,33,35,39,42,44,51,52,57,61,63,70,73,79
254,2023-02-10,1,3,10,12,15,17,27,29,31,33,41,42,45,46,48,49,51,59,65,66,73,78
255,2023-02-13,13,18,20,22,23,25,26,31,32,35,39,47,48,52,53,55,60,62,64,74,76,78
256,2023-02-17,2,3,8,10,16,17,21,23,30,34,41,44,45,48,49,50,53,56,59,61,66,67
257,2023-02-20,2,5,8,10,11,14,25,33,34,46,47,48,50,51,55,56,57,63,66,72,77,78
