tarih,sayi_1,sayi_2,sayi_3,sayi_4,sayi_5,sayi_6
2022-03-03,7,17,20,65,76,87
2022-03-06,59,72,77,85,86,89
2022-03-08,22,32,38,39,55,65
2022-03-10,19,24,53,67,70,74
2022-03-13,34,36,39,49,57,84
2022-03-15,3,7,29,37,47,88
2022-03-17,22,25,35,38,49,88
2022-03-20,11,45,48,61,85,90
2022-03-22,2,13,24,44,75,85
2022-03-24,16,22,41,69,70,87
2022-03-27,9,35,48,63,81,90
2022-03-29,1,26,28,30,41,81
2022-03-31,28,37,49,67,72,77
2022-04-03,1,19,20,49,52,66
2022-04-05,24,25,32,49,57,63
2022-04-07,5,6,11,14,16,39
2022-04-10,12,47,54,57,68,79
2022-04-12,27,37,47,77,82,88
2022-04-14,10,29,42,66,80,87
2022-04-17,12,14,19,78,81,89
2022-04-19,4,14,28,31,62,67
2022-04-21,30,32,42,62,72,73
2022-04-24,8,33,43,44,75,85
2022-04-26,15,19,30,43,47,69
2022-04-28,5,47,59,61,73,86
2022-05-01,5,7,31,41,54,63
2022-05-03,10,11,16,41,51,89
2022-05-05,13,15,25,40,75,81
2022-05-08,10,11,26,39,56,85
2022-05-10,1,28,30,56,72,77
2022-05-12,3,33,48,85,88,90
2022-05-15,4,17,21,26,55,64
2022-05-17,1,37,39,62,64,69
2022-05-19,1,24,34,45,59,68
2022-05-22,5,10,34,47,64,68
2022-05-24,33,51,56,58,62,68
2022-05-26,15,30,46,51,80,81
2022-05-29,4,19,20,63,76,83
2022-05-31,4,30,31,32,56,72
2022-06-02,15,25,32,62,67,68
2022-06-05,17,38,46,52,65,80
2022-06-07,37,38,40,41,48,83
2022-06-09,20,45,57,69,71,80
2022-06-12,14,36,39,63,80,86
2022-06-14,4,16,25,29,56,70
2022-06-16,17,25,36,46,65,83
2022-06-19,6,30,31,51,55,65
2022-06-21,23,31,43,69,73,88
2022-06-23,9,18,23,41,64,82
2022-06-26,2,3,6,60,73,86
2022-06-28,3,25,40,46,54,62
2022-06-30,44,63,65,66,68,78
2022-07-03,8,12,36,50,59,71
2022-07-05,11,19,56,64,75,76
2022-07-07,2,6,21,26,53,86
2022-07-10,46,54,62,64,74,80
2022-07-12,2,6,10,31,78,80
2022-07-14,8,17,28,33,62,77
2022-07-17,36,37,51,71,79,84
2022-07-19,17,39,40,62,85,89
2022-07-21,8,33,54,68,76,80
2022-07-24,19,21,48,61,64,89
2022-07-26,14,16,37,41,59,76
2022-07-28,25,27,45,54,68,69
2022-07-31,1,41,71,72,75,83
2022-08-02,5,50,51,81,82,88
2022-08-04,1,5,27,61,64,71
2022-08-07,3,13,38,40,59,83
2022-08-09,3,20,24,43,56,87
2022-08-11,18,25,35,38,39,68
2022-08-14,21,26,30,35,52,55
2022-08-16,11,53,76,78,81,83
2022-08-18,9,18,26,35,69,74
2022-08-21,8,30,42,61,66,77
2022-08-23,26,28,51,68,73,86
2022-08-25,24,34,51,54,55,69
2022-08-28,18,21,62,69,74,75
2022-08-30,20,30,37,45,57,73
2022-09-01,17,39,41,51,62,66
2022-09-04,4,24,59,74,75,90
2022-09-06,10,19,42,48,69,74
2022-09-08,21,29,30,35,46,53
2022-09-11,4,10,19,25,45,68
2022-09-13,3,9,17,53,67,69
2022-09-15,17,40,58,64,73,81
2022-09-18,11,15,18,26,35,81
2022-09-20,30,39,55,61,72,89
2022-09-22,4,11,19,28,48,59
2022-09-25,12,19,21,24,32,65
2022-09-27,6,10,18,27,41,89
2022-09-29,6,14,31,46,64,67
2022-10-02,32,33,44,47,63,79
2022-10-04,7,8,33,36,47,48
2022-10-06,20,34,40,52,64,66
2022-10-09,6,31,45,56,64,79
2022-10-11,3,49,54,59,65,86
2022-10-13,11,21,41,56,69,70
2022-10-16,25,29,30,35,37,56
2022-10-18,15,36,55,58,79,86
2022-10-20,22,27,61,70,74,83
2022-10-23,8,12,25,32,34,42
2022-10-25,6,14,44,70,73,85
2022-10-27,3,6,7,23,50,51
2022-10-30,8,9,16,18,30,73
2022-11-01,20,26,29,57,68,85
2022-11-03,2,13,17,48,52,59
2022-11-06,15,17,27,43,49,81
2022-11-08,7,8,23,41,75,77
2022-11-10,11,53,64,69,78,86
2022-11-13,16,29,39,57,75,80
2022-11-15,5,20,23,48,86,88
2022-11-18,7,26,27,54,75,82
2022-11-20,3,51,76,78,80,85
2022-11-22,2,8,9,44,53,63
2022-11-25,9,18,46,56,78,79
2022-11-27,1,2,40,47,62,82
2022-11-29,12,22,41,61,78,79
2022-12-02,18,19,38,46,56,77
2022-12-04,1,27,29,39,54,67
2022-12-06,11,12,15,40,76,83
2022-12-09,16,40,75,77,81,85
2022-12-11,1,38,42,67,74,77
2022-12-13,42,43,48,50,76,79
2022-12-16,14,21,50,52,60,84
2022-12-18,10,13,21,42,48,58
2022-12-20,21,52,60,62,75,77
2022-12-23,3,19,34,61,74,81
2022-12-25,2,33,48,64,67,90
2022-12-27,13,45,48,72,74,82
2022-12-30,24,29,61,71,75,90
2023-01-01,8,24,50,74,76,83
2023-01-03,1,41,43,46,51,82
2023-01-06,32,43,62,63,74,86
2023-01-08,6,17,50,59,79,82
2023-01-10,11,33,36,52,54,73
2023-01-13,1,11,14,40,55,86
2023-01-15,2,25,50,70,89,90
2023-01-17,7,46,56,58,60,66
2023-01-20,30,33,37,38,57,85
2023-01-22,12,51,66,73,82,83
2023-01-24,19,31,43,52,62,89
2023-01-27,15,16,48,70,74,76
2023-01-29,1,14,42,59,63,72
2023-01-31,3,11,27,36,45,51
2023-02-03,7,24,27,30,47,56
2023-02-05,1,14,34,43,73,76
2023-02-07,38,49,50,60,63,64
2023-02-10,1,23,35,49,60,66
2023-02-12,32,42,51,52,86,90
2023-02-14,38,52,53,68,69,80
2023-02-17,10,40,44,60,69,89
2023-02-19,12,15,43,54,63,67
2023-02-21,23,25,29,42,47,78
2023-02-24,23,26,38,43,69,84
2023-02-26,16,26,56,60,66,71
2023-02-28,8,19,21,43,62,83
2023-03-03,19,30,38,39,61,85
2023-03-05,17,35,53,55,65,82
2023-03-07,38,45,51,61,65,76
2023-03-10,42,48,51,61,63,77
2023-03-12,17,20,38,42,69,78
2023-03-14,10,14,43,66,67,83
2023-03-17,26,44,46,47,65,70
2023-03-19,24,28,30,45,62,76
2023-03-21,6,25,30,37,55,67
2023-03-24,12,19,31,64,78,81
2023-03-26,2,22,31,67,76,89
2023-03-28,16,33,50,52,54,72
2023-03-31,44,48,68,76,77,87
2023-04-02,18,44,55,65,66,72
2023-04-04,1,9,14,20,22,35
2023-04-07,6,16,22,38,44,77
2023-04-09,2,21,23,55,63,71
2023-04-11,30,33,50,51,79,87
2023-04-14,23,25,60,66,85,88
2023-04-16,22,32,35,65,69,89
2023-04-18,20,49,67,72,80,87
2023-04-21,2,4,36,57,58,87
2023-04-23,11,19,32,67,72,73
2023-04-25,14,19,34,69,76,89
2023-04-28,8,36,39,53,81,83
2023-04-30,2,30,37,80,88,89
2023-05-02,10,31,33,44,66,86
2023-05-05,17,30,38,39,50,77
2023-05-07,8,27,45,52,60,86
2023-05-09,3,20,32,37,42,80
2023-05-12,7,40,52,56,63,65
2023-05-14,22,29,30,51,55,87
2023-05-16,14,15,26,30,48,65
2023-05-19,2,19,41,55,68,78
2023-05-21,5,7,17,18,62,65
2023-05-23,12,41,56,59,78,80
2023-05-26,15,26,33,62,69,90
2023-05-28,4,16,22,27,51,75
2023-05-30,19,20,32,38,52,84
2023-06-02,18,21,41,63,67,84
2023-06-04,50,54,61,70,74,90
2023-06-06,25,32,69,72,79,81
2023-06-09,5,19,36,66,77,78
2023-06-11,3,20,23,53,56,65
2023-06-13,15,23,27,38,56,72
2023-06-16,13,25,38,43,72,87
2023-06-18,16,40,46,58,70,75
2023-06-20,5,15,75,83,84,89
2023-06-23,4,57,65,74,85,88
2023-06-25,2,14,23,45,57,87
2023-06-27,5,29,46,55,64,71
2023-06-30,10,13,65,67,70,80
2023-07-02,23,37,38,39,47,48
2023-07-04,32,40,44,58,67,72
2023-07-07,7,13,22,29,52,58
2023-07-09,7,27,29,57,63,76
2023-07-11,8,20,21,40,43,67
2023-07-14,10,22,26,31,48,53
2023-07-16,10,17,40,44,61,90
2023-07-18,12,14,46,68,85,87
2023-07-21,5,17,30,36,42,52
2023-07-23,5,7,29,39,73,74
2023-07-25,9,13,38,49,73,79
2023-07-28,20,34,38,41,58,68
2023-07-30,5,10,47,51,61,66
2023-08-01,25,29,37,58,67,77
2023-08-04,8,28,29,42,43,57
2023-08-06,5,17,18,40,66,81
2023-08-09,4,10,33,50,52,61
2023-08-11,1,8,15,29,74,78
2023-08-13,19,37,51,53,68,87
2023-08-16,56,57,58,62,72,76
2023-08-18,13,42,43,48,59,77
2023-08-20,4,9,17,52,61,74
2023-08-23,25,31,47,48,81,85
2023-08-25,23,27,74,83,87,90
2023-08-27,14,43,46,61,69,82
2023-08-30,4,59,71,77,79,90
2023-09-01,8,16,21,49,65,89
2023-09-03,17,23,41,62,81,89
2023-09-06,9,35,51,63,71,85
2023-09-08,11,12,26,34,76,85
2023-09-10,18,20,46,62,77,81
2023-09-13,14,48,58,83,87,89
2023-09-15,2,4,12,51,61,72
2023-09-17,7,32,66,72,74,78
2023-09-20,2,33,38,40,64,89
2023-09-22,15,17,32,47,65,77
2023-09-24,10,13,19,65,82,86
2023-09-27,8,18,25,81,82,83
2023-09-29,7,9,39,62,65,84
2023-10-01,15,18,37,48,58,89
2023-10-04,27,38,52,67,75,78
2023-10-06,29,39,52,61,72,87
2023-10-08,24,33,44,69,72,84
2023-10-11,23,26,33,65,73,83
2023-10-13,14,30,44,58,66,89
2023-10-15,6,16,23,56,60,72
2023-10-18,5,12,15,44,57,74
2023-10-20,9,12,13,65,67,88
2023-10-22,18,20,47,50,53,86
2023-10-25,28,32,34,35,76,90
2023-10-27,6,26,32,34,68,80
2023-10-29,6,24,31,63,75,80
2023-11-01,27,32,39,53,75,86
2023-11-03,2,16,20,39,64,74
2023-11-05,4,9,10,31,64,85
2023-11-08,12,15,43,70,71,79
2023-11-10,24,25,37,43,85,87
2023-11-12,15,30,46,60,61,70
2023-11-15,42,44,46,61,68,73
2023-11-17,6,10,16,30,39,40
2023-11-19,5,49,57,67,74,85
2023-11-22,16,33,36,37,54,90
2023-11-24,6,13,16,46,54,74
2023-11-26,6,8,18,19,59,69
2023-11-29,2,68,73,76,77,86
2023-12-01,25,46,47,58,60,64
2023-12-03,14,19,32,37,60,87
2023-12-06,21,24,28,43,45,64
2023-12-08,7,16,63,69,74,81
2023-12-10,15,19,33,45,59,90
2023-12-13,17,34,49,50,68,86
2023-12-15,4,31,34,71,85,90
2023-12-17,26,38,42,58,60,65
2023-12-20,12,28,31,66,75,83
2023-12-22,31,40,46,55,64,77
2023-12-24,5,22,34,36,55,74
2023-12-27,4,5,14,50,68,80
2023-12-29,10,15,52,59,70,82
2023-12-31,1,33,37,49,51,53
2024-01-03,15,30,36,42,51,59
2024-01-05,6,8,25,43,53,85
2024-01-07,3,9,21,38,82,88
2024-01-10,19,25,28,31,34,67
2024-01-12,23,24,26,61,68,89
2024-01-14,20,37,50,64,71,84
2024-01-17,12,17,30,80,86,90
2024-01-19,9,22,26,53,56,86
2024-01-21,18,31,70,72,89,90
2024-01-24,26,56,70,73,75,88
2024-01-26,22,25,56,67,71,86
2024-01-28,3,8,22,25,26,51
2024-01-31,9,42,59,68,69,79
2024-02-02,11,38,78,80,84,86
2024-02-04,10,38,49,65,71,75
2024-02-07,18,25,31,33,74,85
2024-02-09,4,57,66,75,79,85
2024-02-11,32,51,57,63,70,84
2024-02-14,4,5,50,52,56,83
2024-02-16,19,23,28,34,35,79
2024-02-18,3,11,17,19,38,43
2024-02-21,24,25,28,46,52,69
2024-02-23,1,24,40,42,44,66
2024-02-25,10,23,41,61,74,85
2024-02-28,39,41,49,55,65,90
2024-03-01,3,30,50,56,57,65
2024-03-03,13,40,41,47,58,76
2024-03-06,33,44,52,65,66,70
2024-03-08,9,57,58,63,70,88
2024-03-10,6,18,38,57,77,89
2024-03-13,15,47,59,67,76,81
2024-03-15,8,26,37,46,61,88
2024-03-17,3,11,73,79,82,89
2024-03-20,29,36,52,62,70,89
2024-03-22,9,13,28,32,56,83
2024-03-24,18,44,47,49,54,86
2024-03-27,7,9,16,20,41,76
2024-03-29,17,24,58,62,65,88
2024-03-31,1,24,31,32,48,79
2024-04-03,4,15,25,27,39,56
2024-04-05,19,53,66,73,77,79
2024-04-07,4,49,50,56,72,75
2024-04-10,26,34,50,51,74,79
2024-04-12,2,33,53,58,73,85
2024-04-14,7,13,38,45,62,87
2024-04-17,1,38,56,72,74,82
2024-04-19,21,22,29,39,41,45
2024-04-22,7,30,37,38,82,90
2024-04-24,6,12,18,26,58,70
2024-04-26,5,27,42,73,81,82
2024-04-29,36,42,49,52,67,82
2024-05-01,8,22,38,47,69,83
2024-05-03,22,23,34,59,63,70
2024-05-06,38,52,59,71,83,85
2024-05-08,9,27,39,60,65,74
2024-05-10,4,5,30,46,56,67
2024-05-13,22,25,27,32,34,89
2024-05-15,17,20,25,42,49,68
2024-05-17,4,20,29,59,63,66
2024-05-20,14,30,72,74,82,84
2024-05-22,5,8,38,59,76,77
2024-05-24,15,19,33,41,43,85
2024-05-27,5,20,62,82,85,86
2024-05-29,7,20,32,34,41,69
2024-05-31,18,23,50,58,74,90
2024-06-03,5,10,21,39,42,87
2024-06-05,5,8,55,56,66,86
2024-06-07,2,12,39,57,78,80
2024-06-10,30,40,53,60,67,75
2024-06-12,3,19,26,36,40,42
2024-06-14,4,33,42,68,72,85
2024-06-17,6,7,23,31,47,77
2024-06-19,1,8,32,41,44,87
2024-06-21,2,22,69,73,84,88
2024-06-24,2,29,40,42,74,81
2024-06-26,31,35,49,64,67,68
2024-06-28,6,39,54,56,72,76
2024-07-01,17,31,40,55,74,87
2024-07-03,25,29,43,54,60,65
2024-07-05,18,22,24,41,66,84
2024-07-08,7,16,38,44,49,89
2024-07-10,18,34,38,41,65,85
2024-07-12,2,26,29,32,36,66
2024-07-15,13,17,38,48,52,73
2024-07-17,5,6,12,34,62,89
2024-07-19,1,7,27,43,52,57
2024-07-22,16,44,49,61,63,77
2024-07-24,1,17,45,59,63,72
2024-07-26,10,18,62,79,80,90
2024-07-29,6,18,32,56,78,85
2024-07-31,10,38,42,70,72,90
2024-08-02,13,35,50,71,79,85
2024-08-05,2,4,6,8,11,12
2024-08-07,14,25,34,55,56,84
2024-08-09,3,17,32,51,80,82
2024-08-12,17,29,46,69,86,90
2024-08-14,12,15,19,39,56,86
2024-08-16,2,45,48,53,65,67
2024-08-19,8,15,22,47,60,65
2024-08-21,8,27,28,69,71,72
2024-08-23,10,14,20,31,61,87
2024-08-26,2,26,31,46,54,69
2024-08-28,13,19,48,60,80,90
2024-08-30,39,48,54,60,62,63
2024-09-02,9,15,16,18,32,58
2024-09-04,25,38,53,54,82,83
2024-09-06,30,47,50,60,78,89
2024-09-09,8,15,33,44,69,85
2024-09-11,4,7,42,45,67,80
2024-09-13,1,46,47,52,72,78
2024-09-16,1,2,14,23,59,63
2024-09-18,15,18,25,30,72,83
2024-09-20,19,26,36,42,68,79
2024-09-23,36,54,59,68,79,83
2024-09-25,12,13,16,46,57,78
2024-09-27,26,33,43,58,73,89
2024-09-30,12,45,48,64,74,75
2024-10-02,7,19,33,34,46,47
2024-10-04,6,22,63,73,80,84
2024-10-07,3,9,15,27,65,84
2024-10-09,1,13,19,29,48,51
2024-10-11,27,35,43,45,55,67
2024-10-14,7,57,62,82,83,85
2024-10-16,11,23,25,47,70,78
2024-10-18,10,32,33,36,80,89
2024-10-21,6,25,30,57,58,60
2024-10-23,4,28,46,47,70,85
2024-10-25,6,19,33,45,52,64
2024-10-28,11,33,47,56,58,82
2024-10-30,3,10,32,65,66,89
2024-11-01,2,3,29,69,70,88
2024-11-04,1,24,27,37,39,51
2024-11-06,6,10,49,76,77,80
2024-11-08,13,17,19,57,65,66
2024-11-11,9,32,57,78,85,89
2024-11-13,9,23,29,34,41,71
2024-11-15,7,13,15,21,49,86
2024-11-18,21,28,51,58,83,88
2024-11-20,5,15,22,26,30,41
2024-11-22,18,57,64,70,76,81
2024-11-25,17,51,52,68,74,85
2024-11-27,5,28,33,53,80,84
2024-11-29,7,15,32,45,67,73
2024-12-02,4,19,48,55,61,65
2024-12-04,16,20,29,42,71,85
2024-12-06,8,43,54,55,60,83
2024-12-09,2,6,25,33,39,74
2024-12-11,1,4,37,49,60,76
2024-12-13,12,42,47,49,57,60
2024-12-16,12,19,20,32,51,57
2024-12-18,2,14,41,42,63,74
2024-12-20,8,11,30,38,46,90
2024-12-23,11,13,18,29,69,90
2024-12-25,9,22,30,49,64,77
2024-12-27,11,12,19,21,33,86
2024-12-30,16,26,35,59,60,70
2025-01-01,2,9,33,44,57,59
2025-01-03,3,29,32,35,62,72
2025-01-06,13,20,26,46,55,64
2025-01-08,22,28,51,52,63,72
2025-01-11,15,18,38,78,79,83
2025-01-13,14,20,22,53,54,67
2025-01-15,12,26,43,51,54,83
2025-01-18,3,13,27,30,50,65
2025-01-20,28,45,52,70,78,83
2025-01-22,13,45,51,74,86,88
2025-01-25,2,14,16,21,25,49
2025-01-27,24,30,45,60,76,79
2025-01-29,19,21,26,28,86,87
2025-02-01,49,53,54,56,67,88
2025-02-03,30,33,39,43,72,86
2025-02-05,10,46,52,61,65,75
2025-02-08,3,7,45,64,80,88
2025-02-10,10,51,55,58,70,75
2025-02-12,6,45,49,63,65,90
2025-02-15,1,16,31,34,40,73
2025-02-17,8,13,30,41,81,88
2025-02-19,20,33,59,72,88,89
2025-02-22,2,18,22,30,60,68
2025-02-24,23,33,44,66,71,77
2025-02-26,15,37,53,55,60,66
2025-03-01,16,28,46,60,76,84
2025-03-03,4,11,28,36,52,68
2025-03-05,18,42,47,59,64,65
2025-03-08,8,11,12,19,45,49
2025-03-10,28,32,33,35,44,48
2025-03-12,20,21,24,54,55,77
2025-03-15,7,37,39,55,75,79
2025-03-17,13,22,30,57,60,70
2025-03-19,50,54,61,77,81,89
2025-03-22,17,27,30,59,66,90
2025-03-24,7,11,17,20,25,75
2025-03-26,5,37,51,52,80,84
2025-03-29,1,22,43,52,57,74
2025-03-31,6,7,68,73,83,85
2025-04-02,7,12,57,68,73,90
2025-04-05,6,12,13,31,39,56
2025-04-07,6,13,43,71,83,85
2025-04-09,12,32,43,53,56,60
2025-04-12,22,23,24,64,66,78
2025-04-14,17,48,51,53,76,82
2025-04-16,28,39,46,62,67,68
2025-04-19,25,35,52,53,60,85
2025-04-21,1,9,19,40,48,77
2025-04-23,11,32,40,57,74,84
2025-04-26,11,23,47,49,62,64
2025-04-28,18,19,54,57,61,76
2025-04-30,5,18,29,31,55,75
2025-05-03,29,32,46,50,87,89
2025-05-05,23,40,47,59,60,87
2025-05-07,2,8,11,36,53,89
2025-05-10,3,6,11,14,30,31
2025-05-12,33,38,44,48,77,82
2025-05-14,9,13,39,72,75,86
2025-05-17,3,8,20,30,71,80
2025-05-19,1,8,31,46,72,73
2025-05-21,6,12,15,55,61,77
2025-05-24,4,23,43,45,53,61
2025-05-26,22,29,39,61,65,66
2025-05-28,5,16,19,34,79,84
2025-05-31,2,14,20,25,53,55
2025-06-02,18,35,40,56,62,73
2025-06-04,13,29,39,44,81,85
2025-06-07,7,26,40,44,49,70
2025-06-09,25,34,72,76,78,85
2025-06-11,2,18,21,40,71,73
2025-06-14,23,35,41,43,53,57
2025-06-16,20,21,34,43,44,82
2025-06-18,9,30,40,59,60,74
2025-06-21,12,32,53,55,58,80
2025-06-23,47,57,67,68,77,90
2025-06-25,7,21,38,64,77,79
2025-06-28,11,19,43,57,66,79
2025-06-30,31,39,45,52,75,76
2025-07-02,25,45,49,55,57,76
2025-07-05,8,27,29,52,58,66
2025-07-07,13,17,36,50,71,78
2025-07-09,2,42,57,64,79,88
2025-07-12,2,4,11,25,53,89
2025-07-14,12,22,30,50,59,84
2025-07-16,21,48,71,72,81,84
2025-07-19,6,13,27,45,59,68
2025-07-21,9,21,31,57,63,71
2025-07-23,8,9,47,52,74,82
2025-07-26,16,25,31,53,76,87
2025-07-28,10,17,49,58,78,80
2025-07-30,9,31,39,56,67,89
2025-08-02,9,19,27,32,67,75
2025-08-04,34,49,59,61,67,84
2025-08-06,15,23,24,32,73,75
2025-08-09,35,39,54,62,63,72
2025-08-11,7,64,71,79,85,90
2025-08-13,21,23,38,44,49,54
2025-08-16,20,30,41,47,56,86
2025-08-18,23,49,52,58,60,65
2025-08-20,20,45,52,53,65,74
2025-08-23,21,23,42,52,76,87
2025-08-25,7,27,36,41,50,82
2025-08-27,13,34,70,73,74,76
2025-08-30,15,23,35,42,74,78
2025-09-01,5,17,27,41,70,83
2025-09-03,8,15,50,60,77,79
2025-09-06,19,39,46,47,48,71
2025-09-08,7,9,50,58,65,86
2025-09-10,24,48,52,65,72,84
2025-09-13,2,17,35,42,54,77
2025-09-15,11,26,30,36,45,76
2025-09-17,39,54,68,73,83,88
2025-09-20,8,40,55,70,78,85
2025-09-22,15,30,38,52,82,83
2025-09-25,25,35,42,60,84,86
2025-09-27,19,24,33,52,57,62
2025-09-29,33,66,72,75,76,84
2025-10-02,21,25,26,29,35,50
2025-10-04,2,6,12,14,28,48
2025-10-06,15,58,65,78,85,87
2025-10-09,2,10,27,33,48,68
2025-10-11,22,25,31,40,75,77
2025-10-13,43,55,57,70,80,86
2025-10-16,18,63,68,77,79,90
2025-10-18,5,7,29,31,32,44
2025-10-20,17,27,31,38,51,86
2025-10-23,16,46,50,55,70,74
2025-10-25,4,32,46,55,66,80
2025-10-27,13,36,48,56,65,76
2025-10-30,17,40,53,55,62,72
2025-11-01,37,42,45,58,84,85
2025-11-03,1,38,55,57,76,83
2025-11-06,2,37,39,57,75,90
2025-11-08,56,63,64,65,67,76
2025-11-10,2,30,44,45,51,89
2025-11-13,56,58,71,72,82,87
2025-11-15,9,15,19,25,59,62
2025-11-17,10,22,27,37,72,74
2025-11-20,25,42,56,58,62,68
2025-11-22,6,21,66,70,75,84
2025-11-24,7,12,37,59,82,89
2025-11-27,7,10,30,32,35,41
2025-11-29,4,10,15,47,49,66
2025-12-01,4,24,28,47,61,80
2025-12-04,1,12,25,26,35,44
2025-12-06,8,37,38,57,77,84
2025-12-08,3,5,18,33,69,84
2025-12-11,6,16,37,58,62,68
2025-12-13,23,71,73,77,81,90
2025-12-15,9,10,37,47,73,81
2025-12-18,26,35,52,53,60,65
2025-12-20,13,22,32,43,47,64
2025-12-22,32,51,59,61,70,84
2025-12-25,15,19,23,55,62,74
2025-12-27,22,48,58,70,82,90
2025-12-29,9,12,16,25,33,42
2026-01-01,1,14,36,43,56,88
2026-01-03,2,35,39,59,74,77
2026-01-05,17,45,48,50,78,84
2026-01-08,36,38,39,43,52,89
2026-01-10,3,9,15,30,49,67
2026-01-12,16,19,38,43,51,57
2026-01-15,7,18,30,43,63,68
